gene,categoria,gram,peso,evidencia
nctc204_01865,Gene associado à virulência (função não caracterizada),neg,3,True
nctc8849_00075,Gene associado à virulência (função não caracterizada),neg,3,True
nctc9128_03826,Gene associado à virulência (função não caracterizada),neg,3,True
q6294_21865,Gene associado à virulência (função não caracterizada),neg,3,True
samea104567804_04086,Gene associado à virulência (função não caracterizada),neg,3,True
samea2273558_04700,Gene associado à virulência (função não caracterizada),neg,3,True
samea3499874_04396,Gene associado à virulência (função não caracterizada),neg,3,True
samea3499901_04133,Gene associado à virulência (função não caracterizada),neg,3,True
samea3515122_04633,Gene associado à virulência (função não caracterizada),neg,3,True
samea3538828_04305,Gene associado à virulência (função não caracterizada),neg,3,True
samea3649591_04249,Gene associado à virulência (função não caracterizada),neg,3,True
samea3649733_04844,Gene associado à virulência (função não caracterizada),neg,3,True
samea3720909_04089,Gene associado à virulência (função não caracterizada),neg,3,True
samea3729652_04302,Gene associado à virulência (função não caracterizada),neg,3,True
samea4873632_04701,Gene associado à virulência (função não caracterizada),neg,3,True
chxa,Toxina hemolisina,neg,3,True
toxa,Toxina (geral),neg,3,True
a51_b1772,Gene associado à virulência (função não caracterizada),neg,3,True
stn,Enterotoxina termoestável,neg,3,True
sto,Enterotoxina termoestável,neg,3,True
rtxa,Toxina RTX,neg,3,True
d6u24_04990,Gene associado à virulência (função não caracterizada),neg,3,True
g3t61_12610,Gene associado à virulência (função não caracterizada),neg,3,True
ers013165_03657,Gene associado à virulência (função não caracterizada),neg,3,True
f9u35_06210,Gene associado à virulência (função não caracterizada),neg,3,True
f2n06_02850,Gene associado à virulência (função não caracterizada),neg,3,True
c7v25_02410,Gene associado à virulência (função não caracterizada),neg,3,True
gro02_04810,Gene associado à virulência (função não caracterizada),neg,3,True
jyc20_001187,Gene associado à virulência (função não caracterizada),neg,3,True
e7n58_06920,Gene associado à virulência (função não caracterizada),neg,3,True
f8y55_09730,Gene associado à virulência (função não caracterizada),neg,3,True
lzc39_01370,Gene associado à virulência (função não caracterizada),neg,3,True
c3h42_08785,Gene associado à virulência (função não caracterizada),neg,3,True
c3h48_06355,Gene associado à virulência (função não caracterizada),neg,3,True
f8y55_02700,Gene associado à virulência (função não caracterizada),neg,3,True
c3h42_08775,Gene associado à virulência (função não caracterizada),neg,3,True
dsw11_02875,Gene associado à virulência (função não caracterizada),neg,3,True
gff90_04515,Gene associado à virulência (função não caracterizada),neg,3,True
f2n15_06660,Gene associado à virulência (função não caracterizada),neg,3,True
gro02_04800,Gene associado à virulência (função não caracterizada),neg,3,True
jyc20_001189,Gene associado à virulência (função não caracterizada),neg,3,True
nctc13105_00808,Gene associado à virulência (função não caracterizada),neg,3,True
inva,Proteína de invasão (Salmonella),neg,3,True
prgh,Componente estrutural do T3SS,neg,3,True
prgk,Componente estrutural do T3SS,neg,3,True
sipb,Efetor de T3SS,neg,3,True
sipc,Efetor de T3SS,neg,3,True
ssav,Efetor de T3SS,neg,3,True
ssar,Efetor de T3SS,neg,3,True
sseb,Efetor de T3SS,neg,3,True
ssec,Efetor de T3SS,neg,3,True
sope2,Efetor de T3SS,neg,3,True
sopb,Efetor de T3SS,neg,3,True
pagc,Regulador de virulência,neg,3,True
phop,Regulador de virulência (PhoP),neg,3,True
phoq,Regulador de virulência (PhoQ),neg,3,True
spvb,Efetor de T3SS,neg,3,True
spvc,Efetor de T3SS,neg,3,True
fimh,Adesina fimbrial tipo 1,neg,3,True
lpfa,Proteína de adesão,neg,3,True
misl,Proteína de adesão,neg,3,True
sifa,Efetor de T3SS,neg,3,True
ompa,Proteína de membrana externa,neg,3,True
csue,Gene associado à virulência (função não caracterizada),neg,3,True
bap,Proteína associada a biofilme,neg,3,True
abai,Regulador de quorum sensing,neg,3,True
exos,Exotoxina,neg,3,True
lasb,Elastase,neg,3,True
algd,Alginate deacetylase,neg,3,True
esp,Proteína secretada de virulência,neg,3,True
acm,Adesina de colágeno,neg,3,True
hla,Hemolisina alfa,neg,3,True
spa,Proteína A,neg,3,True
clfa,Clumping factor A,neg,3,True
fnba,Fibronectin-binding protein A,neg,3,True
rmpa,Regulador de mucoviscosidade,neg,3,True
entb,Enterotoxina,neg,3,True
uge,UDP-galactose epimerase (síntese de cápsula),neg,3,True
ybts,Sistema transportador de sideróforo,neg,3,True
stx,Toxina Shiga,neg,3,True
ybta,Sistema transportador de sideróforo,neg,3,True
clba,Colibactina,neg,3,True
clbb,Colibactina,neg,3,True
pila,Pilina,neg,3,True
algu,Regulador de biossíntese de alginato,neg,3,True
lasl,Regulador de quorum sensing,neg,3,True
lasr,Regulador de quorum sensing,neg,3,True
asa1,Adesina de superfície,neg,3,True
lasl,desconhecida,neg,3,True
lasr,desconhecida,neg,3,True
asa1,desconhecida,neg,3,True
gele,Gene associado à virulência (função não caracterizada),neg,3,True
cyla,Citolisina/hemolisina,neg,3,True
icaa,Biossíntese de polissacarídeo de adesão (formação de biofilme),neg,3,True
icad,Biossíntese de polissacarídeo de adesão (formação de biofilme),neg,3,True
fnbb,Proteína de ligação à fibronectina,neg,3,True
clfb,Clumping factor B,neg,3,True
cap5,Biossíntese de cápsula tipo 5,neg,3,True
cap8,Biossíntese de cápsula tipo 8,neg,3,True
maga,Gene associado à virulência (função não caracterizada),neg,3,True
rmpa2,Regulador de mucoviscosidade,neg,3,True
iuca,Biossíntese de sideróforo aerobactina,neg,3,True
iuta,Receptor de sideróforo aerobactina,neg,3,True
kfu,Sistema transportador de ferro (Klebsiella ferric uptake),neg,3,True
csua,Gene associado à virulência (função não caracterizada),neg,3,True
csub,Gene associado à virulência (função não caracterizada),neg,3,True
pgaa,Biossíntese de polissacarídeo de adesão (PGA),neg,3,True
pgab,Biossíntese de polissacarídeo de adesão (PGA),neg,3,True
pgac,Biossíntese de polissacarídeo de adesão (PGA),neg,3,True
pstc,Sistema de transporte de fosfato,neg,3,True
purd,Biossíntese de purinas,neg,0,True
pfla,Flagelina,neg,3,True
dksa,Regulador global de transcrição,neg,3,True
dnak,Chaperona de choque térmico,neg,0,True
rdgc,Gene associado à virulência (função não caracterizada),neg,3,True
pyrd,Biossíntese de pirimidinas,neg,0,True
gmha,Biossíntese de LPS (heptose),neg,3,True
pcm,Reparação de proteínas danificadas,neg,3,True
nlpc,Proteína de remodelamento de parede celular,neg,3,True
trxa,Tiorredoxina,neg,0,True
rpmf,Proteína ribossomal,neg,0,True
stm3036,Gene associado à virulência (função não caracterizada),neg,3,True
heme,Aquisição/metabolismo de heme,neg,3,True
ycbg,Gene associado à virulência (função não caracterizada),neg,3,True
phop,Regulador de virulência (PhoP),neg,3,True
aroc,Biossíntese de corismato (precursor de aminoácidos aromáticos),neg,3,True
dppa,Gene associado à virulência (função não caracterizada),neg,3,True
ycih,Gene associado à virulência (função não caracterizada),neg,3,True
sana,Gene associado à virulência (função não caracterizada),neg,3,True
malx,Gene associado à virulência (função não caracterizada),neg,3,True
wece,Biossíntese de LPS,neg,3,True
guaa,Biossíntese de GMP,neg,0,True
cspe,Proteína de choque frio,neg,3,True
spea,Toxina estreptocócica A,neg,3,True
atpa,Subunidade de ATP sintase,neg,0,True
ychf,Gene associado à virulência (função não caracterizada),neg,3,True
aroa,Biossíntese de corismato (precursor de aminoácidos aromáticos),neg,3,True
yjag,Gene associado à virulência (função não caracterizada),neg,3,True
clpp,Protease ClpP,neg,0,True
trpb,Biossíntese de triptofano,neg,0,True
znuc,Proteína de transporte de zinco,neg,3,True
tufa,Fator de elongação Tu,neg,0,True
cara,Biossíntese de carbamoil-fosfato,neg,0,True
ruvb,Reparação de DNA (recombinação),neg,0,True
mgla,Sistema de transporte de magnésio,neg,3,True
cpxa,Sensor histidina quinase (sistema Cpx),neg,3,True
dcta,Transportador de dicarboxilatos,neg,3,True
pgm,Fosfoglicomutase,neg,0,True
fabg,Biossíntese de ácidos graxos,neg,0,True
galu,Galactose-1-fosfato uridiltransferase,neg,0,True
nuog,Subunidade da NADH desidrogenase,neg,3,True
galf,Galactofuranosiltransferase,neg,0,True
crp,Regulador global CRP,neg,3,True
rpos,Fator sigma S (resposta ao estresse),neg,3,True
cspc,Proteína de choque frio,neg,3,True
hfq,Proteína reguladora de RNA,neg,0,True
arca,Regulador de dois componentes (ArcA),neg,3,True
phou,Regulador de virulência (PhoU),neg,3,True
fkpa,Chaperona FkpA,neg,3,True
ompr,Regulador de dois componentes (OmpR),neg,0,True
gyra,DNA girase subunidade A,neg,3,True
slyd,Chaperona SlyD,neg,0,True
rfe,Biossíntese de LPS,neg,3,True
clpb,Chaperona ClpB,neg,3,True
meta,Gene associado à virulência (função não caracterizada),neg,0,True
rpob,RNA polimerase subunidade beta,neg,0,True
trka,Transportador de potássio,neg,0,True
znub,Proteína de transporte de zinco,neg,3,True
purk,Biossíntese de purinas,neg,3,True
pta,Fosfotransacetilase,neg,0,True
ilvd,Biossíntese de aminoácidos de cadeia ramificada,neg,0,True
foca,Transportador de formiato,neg,0,True
guab,Biossíntese de GMP,neg,3,True
miaa,Modificação de tRNA,neg,0,True
lon,Protease Lon,neg,3,True
smpb,Proteína de ligação a tmRNA,neg,0,True
carb,Gene associado à virulência (função não caracterizada),neg,0,True
purh,Biossíntese de purinas,neg,0,True
asd,Biossíntese de aspartato-semialdeído desidrogenase,neg,0,True
cyob,Citocromo bo oxidase,neg,0,True
lppa,Lipoproteína de membrana,neg,0,True
cls,Cardiolipina sintase,neg,3,True
sera,Serina racemase,neg,3,True
uvry,Regulador de dois componentes (UvrY),neg,3,True
map,Proteína associada à adesão,neg,3,True
cpxr,Regulador de dois componentes (CpxR),neg,3,True
sspa,Proteína de secreção,neg,3,True
prfc,Fator de liberação de tradução,neg,3,True
prfc,desconhecida,neg,0,True
